arm	inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in	stratum
decoy	UJDGVHVIOMSXMR-UHFFFAOYSA-N	c1ccc(-n2ncc3cccnc32)cc1	coadd	CHEMBL1417062	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	195.23	2.421	0	2	30.71	1	15	24	3	0.0	0	0	1		fragment
decoy	VJXKVDLXKYYYBX-AOOOYVTPSA-N	N[C@H]1C[C@@H](c2ccccc2)C1	coadd	CHEMBL4568652	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	147.22	1.891	1	1	26.02	1	11	24	2	0.4	0	0	1		fragment
decoy	XUYJLQHKOGNDPB-UHFFFAOYSA-N	O=C(O)CP(=O)(O)O	chembl_phase2	CHEMBL50300	CC BY-SA 3.0	2026-09-25	140.03	-0.751	3	2	94.83	2	8	13	0	0.5	0	0	1		fragment
decoy	XRPROSVPWUUCLT-UHFFFAOYSA-N	CN(Cc1ccncc1)C(=O)CN	coadd	CHEMBL4525254	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	179.22	-0.001	1	3	59.22	3	13	26	1	0.333	0	0	1		fragment
decoy	ZHDATZMWGSUDMP-UHFFFAOYSA-N	NC(=O)CN1C(=O)COc2ccccc21	chembl_phase2	CHEMBL2105270	CC BY-SA 3.0	2026-09-25	206.2	-0.103	1	3	72.63	2	15	25	2	0.2	0	0	1		fragment
decoy	LQVAQUHURBYBSG-UHFFFAOYSA-N	CC(CN)S(N)(=O)=O	coadd	CHEMBL4579075	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	138.19	-1.378	2	3	86.18	2	8	18	0	1.0	0	0	1		fragment
decoy	VFSHLEHNCCVYOM-UHFFFAOYSA-N	CS(=O)(=O)NCCCN	coadd	CHEMBL4528575	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	152.22	-1.116	2	3	72.19	4	9	21	0	1.0	0	0	1		fragment
decoy	INJOYSHXGZXVEO-UHFFFAOYSA-N	CCCN(CC(N)=O)S(=O)(=O)N1CCCCC1	coadd	CHEMBL4593031	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	263.36	-0.086	1	3	83.71	6	17	38	1	0.9	0	0	1		fragment
decoy	AUFSOOYCQYDGES-UHFFFAOYSA-N	CNCC(C)c1ccccc1	chembl_phase2	CHEMBL1622886	CC BY-SA 3.0	2026-09-25	149.24	2.01	1	1	12.03	3	11	26	1	0.4	0	0	1		fragment
decoy	MUBZPKHOEPUJKR-UHFFFAOYSA-N	O=C(O)C(=O)O	coadd	CHEMBL4593088	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	90.03	-0.844	2	2	74.6	0	6	8	0	0.0	0	0	1		fragment
decoy	GJPUAFVJSXMABL-UHFFFAOYSA-N	COc1ccc(C(=O)N(C)C2CCN(C)CC2)cc1	coadd	CHEMBL4552187	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	262.35	1.861	0	3	32.78	3	19	41	2	0.533	0	0	1		fragment
decoy	KAIQBYOVFPSBLL-UHFFFAOYSA-N	CCC(C(=O)Nc1ccc(OC)cc1)N(C)C	coadd	CHEMBL4563955	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	236.31	1.974	1	3	41.57	5	17	37	1	0.462	0	0	1		fragment
decoy	QLYMJKGHYRRMDO-AWNIVKPZSA-N	CC/C(C)=C/CCN1CCC2(CCCNC2=O)C1	coadd	CHEMBL4580847	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	250.39	2.335	1	2	32.34	4	18	44	2	0.8	0	0	1		fragment
decoy	KCAMDBNDUHBEBH-UHFFFAOYSA-N	c1ccc2c(c1)COC21CCCNC1	coadd	CHEMBL4535562	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	189.26	1.795	1	2	21.26	0	14	29	3	0.5	0	0	1		fragment
decoy	KUDNJELAUXSOIL-UHFFFAOYSA-N	FC(F)(F)c1ccc(OC2CCNCC2)nc1	coadd	CHEMBL4536175	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	246.23	2.231	1	3	34.15	2	17	30	2	0.545	0	0	1		fragment
decoy	MIRBDUREIHMEMK-UHFFFAOYSA-N	CN1CCN(CC2CCNCC2)CC1	coadd	CHEMBL4527924	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	197.33	0.233	1	3	18.51	2	14	37	2	1.0	0	0	1		fragment
decoy	BPDZBYOFWIFUAI-UHFFFAOYSA-N	CN(C)S(=O)(=O)NCc1ccccc1CO	coadd	CHEMBL4538615	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	244.32	0.075	2	3	69.64	5	16	32	1	0.4	0	0	1		fragment
decoy	WNOZIECLFMDBSI-ITGUQSILSA-N	COCCNC(=O)[C@H]1[C@@H]2CN(C3CCCC3)C[C@@H]21	coadd	CHEMBL4583671	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	252.36	0.869	1	3	41.57	5	18	42	3	0.929	0	0	1		fragment
decoy	CENPMZAOUBNUCY-UHFFFAOYSA-N	FC(F)OC1CCNC1	coadd	CHEMBL4568220	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	137.13	0.587	1	2	21.26	2	9	18	1	1.0	0	0	1		fragment
decoy	HNYJDSVTOYNOLT-UHFFFAOYSA-N	COc1cccc2c(N)c(C)cnc12	coadd	CHEMBL4587432	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	188.23	2.134	1	3	48.14	1	14	26	2	0.182	0	0	1		fragment
