arm	inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in
screen	ZEUITGRIYCTCEM-KRWDZBQOSA-N	CNCC[C@H](Oc1cccc2ccccc12)c1cccs1	chembl_approved	CHEMBL1175	CC BY-SA 3.0	2026-09-25	297.42	4.631	1	3	21.26	6	21	40	3	0.222	0	0	0	chembl_approved:CHEMBL1200328
screen	LHIALLMPKJMSIQ-NSCUHMNNSA-N	Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1	chembl_phase2	CHEMBL134920	CC BY-SA 3.0	2026-09-25	246.23	0.871	1	6	112.76	3	18	28	2	0.1	0	0	0	
screen	KJSGTWFWVTYPFZ-AWEZNQCLSA-N	CCS(=O)(=O)c1ccc(Oc2cc(O[C@@H](C)CO)cc(C(=O)Nc3ccn(C)n3)c2)cn1	chembl_phase2	CHEMBL3580737	CC BY-SA 3.0	2026-09-25	460.51	2.413	2	8	132.64	9	32	56	3	0.286	0	0	0	chembl_phase2:CHEMBL4297302
screen	JDOZJEUDSLGTLU-VWUMJDOOSA-N	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O	chembl_approved	CHEMBL1201231	CC BY-SA 3.0	2026-09-25	440.43	1.675	4	6	141.36	4	30	59	4	0.714	0	0	0	
screen	FLGJKPPXEKYCBY-AKCFYGDASA-N	C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4C=C(OC5CCCC5)CC[C@@H]4[C@H]3CC[C@@]21C	chembl_phase2	CHEMBL2105291	CC BY-SA 3.0	2026-09-25	408.58	5.947	0	3	35.53	3	30	66	5	0.741	0	1	0	
screen	DUYJMQONPNNFPI-VPYROQPTSA-N	[2H]C([2H])([2H])n1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21	chembl_phase2	CHEMBL6068008	CC BY-SA 3.0	2026-09-25	502.64	4.51	2	7	87.55	10	37	70	4	0.25	0	1	0	
screen	BFPSDSIWYFKGBC-UHFFFAOYSA-N	COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1	chembl_approved	CHEMBL1200761	CC BY-SA 3.0	2026-09-25	380.87	5.868	0	3	27.69	6	27	48	3	0.13	0	1	0	
screen	YTLQFZVCLXFFRK-UHFFFAOYSA-N	c1ccc(Cc2nc3ccccc3[nH]2)cc1	chembl_phase2	CHEMBL355063	CC BY-SA 3.0	2026-09-25	208.26	3.154	1	1	28.68	2	16	28	3	0.071	0	0	0	
screen	WDSCBUNMANHPFH-UHFFFAOYSA-N	CC(=O)NCCCCCC(=O)O	chembl_phase3	CHEMBL2105922	CC BY-SA 3.0	2026-09-25	173.21	0.767	2	2	66.4	6	12	27	0	0.75	0	0	1	
screen	HNRWGYDMTRPLCQ-SNVBAGLBSA-N	O=C1CC[C@@H](Oc2cc(Cl)c(-c3noc(-c4cn5cc(C(F)(F)F)cc(Cl)c5n4)n3)cc2Cl)CN1	chembl_phase2	CHEMBL5314488	CC BY-SA 3.0	2026-09-25	546.72	5.688	1	6	94.55	4	35	48	5	0.238	0	2	0	
