inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in
FTALBRSUTCGOEG-UHFFFAOYSA-N	Nc1nc2ccc(OC(F)(F)F)cc2s1	chembl_approved	CHEMBL744	CC BY-SA 3.0	2026-09-25	234.2	2.777	1	4	48.14	1	15	20	2	0.125	0	0	0	
FTCYIGBVOHNHCD-UHFFFAOYSA-N	CC(C)Nc1ncccn1	chembl_approved	CHEMBL1697751	CC BY-SA 3.0	2026-09-25	137.19	1.297	1	3	37.81	2	10	21	1	0.429	0	0	1	chembl_approved:CHEMBL1740513
FTOAOBMCPZCFFF-UHFFFAOYSA-M	CCC1(CC)C(=O)[N-]C(=O)NC1=O	chembl_approved	CHEMBL2105904	CC BY-SA 3.0	2026-09-25	183.19	0.943	1	3	77.34	2	13	24	1	0.625	0	0	1	
FTOAOBMCPZCFFF-UHFFFAOYSA-N	CCC1(CC)C(=O)NC(=O)NC1=O	chembl_approved	CHEMBL444	CC BY-SA 3.0	2026-09-25	184.19	0.159	2	3	75.27	2	13	25	1	0.625	0	0	1	
FUBBGQLTSCSAON-PBFPGSCMSA-N	CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1	chembl_approved	CHEMBL1200971	CC BY-SA 3.0	2026-09-25	405.43	-0.012	3	7	139.03	6	28	47	3	0.333	0	0	0	
FUBVWMNBEHXPSU-UHFFFAOYSA-N	CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2	chembl_approved	CHEMBL1075	CC BY-SA 3.0	2026-09-25	427.53	4.107	1	6	71.11	5	30	55	4	0.364	0	0	0	chembl_approved:CHEMBL1200334
FVNFBBAOMBJTST-UHFFFAOYSA-N	O=C1NCC2(CCN(CCc3ccccc3)CC2)O1	chembl_approved	CHEMBL576127	CC BY-SA 3.0	2026-09-25	260.34	1.803	1	3	41.57	3	19	39	3	0.533	0	0	1	
FVTCRASFADXXNN-SCRDCRAPSA-M	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])O)c2cc1C	chembl_approved	CHEMBL3989697	CC BY-SA 3.0	2026-09-25	455.34	-2.239	5	10	210.92	7	31	51	3	0.412	0	0	0	
FVTCRASFADXXNN-SCRDCRAPSA-N	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C	chembl_approved	CHEMBL1201794	CC BY-SA 3.0	2026-09-25	456.35	-1.607	6	9	208.09	7	31	52	3	0.412	0	1	0	
FVTWTVQXNAJTQP-UHFFFAOYSA-N	OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2	chembl_approved	CHEMBL523299	CC BY-SA 3.0	2026-09-25	428.6	5.14	1	2	29.46	8	32	66	6	0.379	0	1	0	chembl_approved:CHEMBL1187833
FWCVZAQENIZVMY-UHFFFAOYSA-N	CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O	chembl_approved	CHEMBL4101807	CC BY-SA 3.0	2026-09-25	337.38	3.623	1	5	77.24	6	25	44	3	0.211	0	0	0	
FWFVLWGEFDIZMJ-FOMYWIRZSA-N	CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	chembl_approved	CHEMBL1200635	CC BY-SA 3.0	2026-09-25	475.63	2.674	2	7	104.14	7	34	75	4	0.815	0	0	0	chembl_approved:CHEMBL1201263
FWJKNZONDWOGMI-UHFFFAOYSA-N	CCC1(CC)C(=O)NC(=O)N(C)C1=O	chembl_approved	CHEMBL450	CC BY-SA 3.0	2026-09-25	198.22	0.501	1	3	66.48	2	14	28	1	0.667	0	0	1	
FWYSMLBETOMXAG-QHCPKHFHSA-N	COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1	chembl_approved	CHEMBL1241951	CC BY-SA 3.0	2026-09-25	572.56	5.707	1	7	77.84	6	41	69	5	0.31	0	2	0	
FWZAWAUZXYCBKZ-NSHDSACASA-N	COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1	chembl_approved	CHEMBL4650485	CC BY-SA 3.0	2026-09-25	479.43	3.432	3	5	125.26	7	34	55	3	0.227	0	0	0	
FYDWDCIFZSGNBU-UHFFFAOYSA-N	CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1	chembl_approved	CHEMBL3833319	CC BY-SA 3.0	2026-09-25	597.76	4.836	2	6	108.21	10	44	87	5	0.4	0	1	0	
FYMHQCNFKNMJAV-HOTGVXAUSA-N	N#Cc1c(N2C[C@@H]3NCCO[C@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12	chembl_approved	CHEMBL1908370	CC BY-SA 3.0	2026-09-25	398.39	1.222	2	6	107.59	3	29	48	5	0.45	0	0	0	
FYPMFJGVHOHGLL-UHFFFAOYSA-N	CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	chembl_approved	CHEMBL608	CC BY-SA 3.0	2026-09-25	516.86	9.908	2	4	40.46	4	35	83	2	0.613	0	2	0	
