pair,pDockQ,n_complexes,example_complex,n_drugs,drugs
EPC1-MEAF6,0.657,1,TIP60-C complex,14,brentuximab vedotin;cabazitaxel;docetaxel;enfortumab vedotin;eribulin;ixabepilone
PDE1B-PDE1C,0.655,1,PDE1B-PDE1C complex,1,dipyridamole
MTA3-RBBP4,0.649,1,SIX3-LSD1-NuRD(MTA3) complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
GATAD2B-MBD2,0.638,2,MeCP1 complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
MTA2-RBBP4,0.624,13,Mi2/NuRD complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
MTA3-RBBP7,0.619,1,SIX3-LSD1-NuRD(MTA3) complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
ECSIT-NDUFAF1,0.594,3,"Ecsit complex (ECSIT, GAPDH, MT-CO2, NDUFAF1, TRAF",1,metformin
ING3-MEAF6,0.592,1,TIP60-C complex,14,brentuximab vedotin;cabazitaxel;docetaxel;enfortumab vedotin;eribulin;ixabepilone
PWP1-RPL15,0.564,1,Nop56p-associated pre-rRNA complex,19,aclarubicin;belotecan;brentuximab vedotin;cabazitaxel;docetaxel;enfortumab vedotin
PSMD5-PSMD9,0.552,1,PA700-20S-PA28 complex,3,bortezomib;carfilzomib;ixazomib
NFKB1-REL,0.537,5,NFKB1-NFKB2-REL-RELA-RELB complex,1,cepharanthine
SIN3B-SUDS3,0.532,1,HCF-1 complex,6,belinostat;panobinostat;pimitespib;romidepsin;tucidinostat;vorinostat
PRKAR2A-PRKAR2B,0.53,1,PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex,38,acebutolol;alprenolol;arbutamine;atenolol;betaxolol;bevantolol
HDAC2-SMARCC1,0.511,7,BRG1-SIN3A complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
NFKB2-REL,0.51,5,NFKB1-NFKB2-REL-RELA-RELB complex,1,cepharanthine
NFKB2-RELB,0.505,4,NFKB1-NFKB2-REL-RELA-RELB complex,1,cepharanthine
HDAC2-MIER2,0.502,1,HDAC1-HDAC2-MIER1-MIER2 complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
ACTL6A-HDAC2,0.502,6,BRG1-SIN3A complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
ACTB-HSPA8,0.473,1,P2X7 receptor signalling complex,2,lifitegrast;pimitespib
MTA1-MTA2,0.463,2,SNF2h-cohesin-NuRD complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
HSPA8-SRSF1,0.458,1,CDC5L complex,9,aclarubicin;daunorubicin;doxorubicin;etoposide;etoposide phosphate;idarubicin
